iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.554759,16.610001,0.008432,0.008678,0.791667,0.0,0.992499,35509.0,0.007256,0.022162,0.000561,0.005825,-0.001165,0.002727,7.215133,-0.1,-0.001,-0.01,-0.02,-0.2,0.006191,-5.9e-05,-3.6e-05,-0.004756,-8e-06,-0.008106,-0.002747,-0.000388,0.009269,-0.001733,-0.000612,-0.003192,-0.001488,0.006884,0.000493,-0.00284,-1.9e-05,-8e-06,4.375,0.031234,0.136574,0.247678
1,1.298808,43.790001,0.024484,0.021778,7.666667,0.0,0.985178,59575.0,0.022,0.068418,0.003957,0.01797,-0.003837,0.008368,6.810869,-0.1,-0.001,-0.01,-0.02,-0.2,0.017947,-0.000179,-0.000172,-0.023766,-2e-05,-0.025274,-0.008112,-0.001024,0.025072,-0.004941,-0.001822,-0.008828,-0.003811,0.01795,0.001623,-0.008564,-0.000151,-0.000144,4.916667,0.032897,0.163528,0.552529
2,2.223299,66.620003,0.038686,0.036195,6.583333,0.0,0.979419,59646.0,0.034895,0.11274,0.006047,0.029059,-0.005593,0.01473,6.836969,-0.1,-0.001,-0.01,-0.02,-0.2,0.029518,-0.000293,-0.00034,-0.022996,-3.2e-05,-0.041213,-0.013377,-0.001779,0.040665,-0.007825,-0.002963,-0.014329,-0.006432,0.029055,0.002665,-0.013923,-0.000411,-0.000382,4.833333,0.03234,0.166372,0.531622
3,2.994631,87.120003,0.053833,0.04959,7.166667,0.0,0.969874,58799.0,0.046766,0.152771,0.007885,0.039938,-0.007518,0.019744,6.851473,-0.1,-0.001,-0.01,-0.02,-0.2,0.040176,-0.000401,-0.000475,-0.026224,-4.5e-05,-0.056353,-0.017998,-0.002449,0.055954,-0.01036,-0.003943,-0.019606,-0.009155,0.041242,0.003878,-0.018966,-0.000661,-0.000714,3.708333,0.031338,0.173518,0.57066
4,3.864919,110.360001,0.066773,0.064195,6.041667,0.0,0.960148,58991.0,0.059671,0.196409,0.010347,0.052593,-0.009643,0.024232,6.830034,-0.1,-0.001,-0.01,-0.02,-0.2,0.05117,-0.000509,-0.000662,-0.025208,-6e-05,-0.070385,-0.02266,-0.003134,0.073933,-0.013033,-0.004946,-0.024168,-0.012234,0.048078,0.004732,-0.023725,-0.000975,-0.000849,3.666667,0.031538,0.15971,0.564452
5,5.338365,130.979996,0.084198,0.079433,5.416667,0.0,0.952244,59576.0,0.071181,0.2428,0.011844,0.060576,-0.01103,0.031027,6.834558,-0.1,-0.001,-0.01,-0.02,-0.2,0.06247,-0.000616,-0.000759,-0.022621,-7e-05,-0.08511,-0.027288,-0.003837,0.087767,-0.015325,-0.006185,-0.029877,-0.014307,0.064555,0.005745,-0.02864,-0.00159,-0.000868,4.208333,0.029467,0.181224,0.513529
6,5.594799,153.240005,0.093745,0.095622,3.708333,0.0,0.941103,59647.0,0.082239,0.277483,0.012848,0.072085,-0.01199,0.034948,6.827712,-0.1,-0.001,-0.01,-0.02,-0.2,0.073763,-0.000734,-0.000905,-0.019854,-8.6e-05,-0.099071,-0.031795,-0.004686,0.104496,-0.017657,-0.006971,-0.035439,-0.017523,0.075586,0.007152,-0.033378,-0.00276,-0.001507,3.625,0.031594,0.167061,0.463577
7,7.026549,170.059998,0.107452,0.109987,3.0,0.0,0.931593,59585.0,0.091447,0.321156,0.014157,0.084939,-0.0139,0.044603,6.838054,-0.1,-0.001,-0.01,-0.02,-0.2,0.084715,-0.000839,-0.001244,-0.017744,-0.000101,-0.11256,-0.036311,-0.005359,0.122437,-0.019663,-0.008048,-0.040997,-0.020371,0.088009,0.008396,-0.03794,-0.003316,-0.002308,3.541667,0.031625,0.171453,0.441322
8,7.933499,192.070007,0.122846,0.129582,2.291667,0.0,0.922063,54129.0,0.106297,0.371369,0.015182,0.09327,-0.015188,0.048139,6.831462,-0.1,-0.001,-0.01,-0.02,-0.2,0.095597,-0.000942,-0.001307,-0.013054,-0.000113,-0.125249,-0.041396,-0.006142,0.136703,-0.022256,-0.00907,-0.04722,-0.022702,0.101219,0.009333,-0.04225,-0.003825,-0.003377,4.208333,0.030876,0.164661,0.366592
9,9.526122,219.220001,0.134261,0.147276,2.375,0.0,0.912054,51385.0,0.12028,0.414459,0.018969,0.10653,-0.018102,0.05458,6.817798,-0.1,-0.001,-0.01,-0.02,-0.2,0.107207,-0.001054,-0.001429,-0.016832,-0.000126,-0.138731,-0.045932,-0.006609,0.156048,-0.025691,-0.010292,-0.051522,-0.025705,0.11075,0.010446,-0.046808,-0.004523,-0.003658,3.375,0.03449,0.17843,0.414191
