iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.604594,15.36,0.011003,0.010776,0.916667,0.0,0.991323,28292.0,0.007274,0.019894,0.001033,0.009973,-0.001565,0.002393,8.490229
1,1.544432,44.310001,0.028814,0.025055,10.0,0.0,0.984718,46436.0,0.023303,0.066847,0.006004,0.034702,-0.0055,0.01224,8.362637
2,2.801606,67.860001,0.046994,0.043569,13.25,0.0,0.982505,46531.0,0.036235,0.106635,0.009004,0.054378,-0.00825,0.018711,8.29014
3,3.705833,86.900002,0.063259,0.060007,13.791667,0.0,0.976725,46519.0,0.048912,0.14386,0.011563,0.072795,-0.01072,0.025645,8.277475
4,4.418477,101.190002,0.077022,0.073465,14.791667,0.0,0.971023,46364.0,0.060918,0.17453,0.013774,0.090437,-0.013558,0.029219,8.232695
5,5.091706,112.099998,0.088972,0.085621,13.916667,0.0,0.964531,46108.0,0.06802,0.20231,0.015801,0.104109,-0.015586,0.033513,8.239674
6,5.837653,128.520004,0.10013,0.094942,11.791667,0.0,0.958862,45564.0,0.076179,0.226058,0.017988,0.114047,-0.016944,0.03631,8.203995
7,6.78838,144.399994,0.108165,0.105823,11.166667,0.0,0.953524,45908.0,0.084618,0.25115,0.018962,0.128503,-0.019006,0.040098,8.13711
8,6.644754,145.009995,0.113177,0.109217,8.083334,0.0,0.950236,46763.0,0.086867,0.262256,0.021069,0.135578,-0.020462,0.046528,8.1102
9,7.904685,171.669998,0.125464,0.122398,7.416667,0.0,0.945364,48115.0,0.09844,0.286335,0.022739,0.146747,-0.022353,0.050752,8.092249
10,8.520994,183.880005,0.139501,0.137059,6.041667,0.0,0.942908,40317.0,0.108728,0.32343,0.025729,0.16342,-0.024852,0.055716,8.034055
11,9.325257,200.589996,0.151528,0.14539,4.708333,0.0,0.937177,47135.0,0.120937,0.357228,0.02748,0.184488,-0.028988,0.059156,8.017113
12,9.299138,202.020004,0.155398,0.153326,3.291667,0.0,0.933529,50064.0,0.123216,0.367551,0.027483,0.181042,-0.027646,0.060524,7.993184
13,10.359195,228.059998,0.172612,0.171811,2.904762,0.0,0.92854,46555.0,0.130022,0.415882,0.032994,0.186471,-0.028769,0.08302,7.964225
14,12.077503,261.119995,0.189785,0.190921,2.476191,0.0,0.925397,42664.0,0.152446,0.459809,0.035366,0.226676,-0.034462,0.082166,7.937169
15,13.68061,288.859985,0.224077,0.22107,2.25,0.0,0.92002,33249.0,0.17183,0.511849,0.037905,0.269137,-0.040807,0.078267,7.96881
16,14.770824,318.339996,0.261291,0.265312,1.380952,0.0,0.916256,36000.0,0.2094,0.606891,0.041865,0.343628,-0.050118,0.078884,7.942016
