iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1499,1.639402,18.58,0.008654,0.00978,0.166667,37.125,0.04776,31267.0,0.004609,0.005675,0.000292,0.003424,-0.000968,0.003161,16.36425,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.005746,-0.003794,-0.000146,-0.016897,-0.0095,-0.00047,-0.001366,-0.000589,0.009225,-0.01212,-0.004758,-0.00328,-0.001299,0.012601,0.04228,-0.00147,-8e-06,-3e-06,34.666668,0.0,3.708333,0.108311,0.101466,0.157197
1500,3.303192,41.82,0.023357,0.026755,0.75,7.708333,0.048044,42052.0,0.015678,0.019196,0.00174,0.013229,-0.00173,0.010272,15.170837,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.016446,-0.010941,-0.000445,-0.02911,-0.013184,-0.001068,-0.001082,-0.001605,0.022952,-0.021345,-0.012889,-0.002064,-0.002511,0.030837,0.112267,-0.003908,-0.00015,-8.3e-05,3.208333,0.0,4.291667,0.059208,0.176737,0.214074
1501,5.877813,63.599998,0.037886,0.040546,1.166667,4.041667,0.048208,37800.0,0.036203,0.033422,0.004572,0.025675,-0.003792,0.019242,14.984423,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.026347,-0.016195,-0.001605,-0.030734,-0.019524,-0.001842,-0.001791,-0.002486,0.034247,-0.035888,-0.020414,-0.004322,-0.004233,0.030859,0.156201,-0.007162,-0.000318,-0.000529,6.666667,0.0,3.375,0.05377,0.299194,0.312035
1502,8.526189,77.730003,0.04977,0.054878,1.041667,3.5,0.048462,37314.0,0.04156,0.037306,0.005951,0.030669,-0.004427,0.024617,14.479866,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.035115,-0.020309,-0.00264,-0.025105,-0.022379,-0.00212,-0.002078,-0.003101,0.046958,-0.030283,-0.019015,-0.004053,-0.0043,0.051001,0.229331,-0.008552,-0.000334,-0.00138,3.041667,0.0,4.333333,0.051323,0.197773,0.31949
1503,9.989663,90.82,0.067453,0.071828,1.125,2.125,0.048689,41044.0,0.049965,0.048657,0.007753,0.03766,-0.006067,0.035288,14.258697,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.044672,-0.025648,-0.002617,-0.022433,-0.026358,-0.002721,-0.002857,-0.004422,0.062759,-0.036058,-0.026804,-0.005444,-0.005612,0.073184,0.298297,-0.011598,-0.000472,-0.001371,2.416667,0.0,4.208333,0.045969,0.198362,0.281589
1504,15.509983,116.150002,0.082651,0.088689,0.541667,2.083333,0.048826,40877.0,0.047603,0.049958,0.009512,0.044347,-0.007062,0.048584,13.941185,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.055339,-0.030658,-0.00296,-0.02026,-0.031949,-0.002915,-0.00323,-0.005501,0.081287,-0.033194,-0.027077,-0.005785,-0.006847,0.107328,0.396906,-0.013016,-0.000324,-0.002557,1.75,0.0,4.041667,0.048014,0.179864,0.259174
1505,16.092009,125.150002,0.093427,0.097876,1.125,1.25,0.049091,38411.0,0.054764,0.056532,0.010309,0.048223,-0.00767,0.054423,13.641087,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.063084,-0.034413,-0.002948,-0.020339,-0.031431,-0.003436,-0.003672,-0.006036,0.091299,-0.041259,-0.032485,-0.006448,-0.006703,0.129395,0.455884,-0.01501,-0.000583,-0.00216,1.75,0.0,3.625,0.045748,0.188617,0.329766
1506,20.46789,157.960007,0.11509,0.12224,0.791667,1.083333,0.049405,40326.0,0.060968,0.068253,0.013744,0.057803,-0.009932,0.06917,13.563074,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.077125,-0.041665,-0.00385,-0.017828,-0.039923,-0.00404,-0.004392,-0.00784,0.115614,-0.03637,-0.034489,-0.007046,-0.008791,0.15817,0.566939,-0.018298,-0.000355,-0.00346,1.875,0.0,4.041667,0.043689,0.188621,0.274282
1507,23.828608,172.880005,0.127638,0.132293,1.333333,1.125,0.049643,42960.0,0.06724,0.073403,0.015854,0.067608,-0.012076,0.080093,13.555671,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.080972,-0.042245,-0.004805,-0.024371,-0.041622,-0.004722,-0.005389,-0.008607,0.118378,-0.058666,-0.047336,-0.008591,-0.007892,0.162138,0.58161,-0.023036,-0.000745,-0.003378,2.708333,0.0,3.083333,0.058492,0.293774,0.307247
1508,26.460535,185.889999,0.146635,0.146186,1.333333,0.958333,0.049979,40134.0,0.067865,0.075612,0.018864,0.072281,-0.013111,0.091347,13.215496,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.092844,-0.047008,-0.00488,-0.022297,-0.042809,-0.005102,-0.005814,-0.009714,0.134965,-0.04974,-0.042015,-0.008066,-0.008442,0.208779,0.686312,-0.024932,-0.001231,-0.006912,2.0,0.0,3.458333,0.056232,0.275894,0.302
1509,32.567429,219.899994,0.164952,0.169323,1.083333,1.125,0.050188,38943.0,0.065278,0.082163,0.016702,0.075185,-0.013385,0.104856,13.375805,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.104234,-0.055763,-0.003583,-0.022429,-0.051158,-0.005204,-0.00594,-0.010786,0.157446,-0.054961,-0.047419,-0.008864,-0.010341,0.262127,0.783576,-0.025437,-0.000564,-0.006895,2.166667,0.0,2.958333,0.059009,0.276362,0.284667
1510,32.136578,215.139999,0.159959,0.167357,0.875,1.291667,0.050543,42380.0,0.06648,0.077008,0.02039,0.074145,-0.012459,0.102501,13.166912,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.105537,-0.051972,-0.004897,-0.022255,-0.046477,-0.00501,-0.005728,-0.009974,0.160566,-0.043815,-0.039872,-0.008352,-0.009555,0.263845,0.823439,-0.02322,-0.000743,-0.010255,2.166667,0.0,3.083333,0.056842,0.270678,0.281393
1511,36.735519,243.169998,0.187873,0.19671,0.875,1.166667,0.050827,41108.0,0.073678,0.104785,0.022036,0.082188,-0.013754,0.11928,13.306036,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.122427,-0.061136,-0.006161,-0.020633,-0.053907,-0.005826,-0.006025,-0.011392,0.189978,-0.050747,-0.046956,-0.009104,-0.011948,0.314876,0.924976,-0.025757,-0.001026,-0.010324,2.583333,0.0,3.791667,0.051303,0.255857,0.291604
1512,40.071697,257.369995,0.203291,0.207976,1.291667,1.291667,0.051188,38097.0,0.064369,0.090995,0.022392,0.078139,-0.0136,0.123788,13.201903,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.127504,-0.062223,-0.005058,-0.020472,-0.050746,-0.005427,-0.005616,-0.010965,0.2026,-0.046799,-0.04276,-0.009511,-0.01156,0.362075,1.010472,-0.023985,-0.001278,-0.008992,1.5,0.0,3.416667,0.05523,0.229659,0.292411
1513,42.508732,270.970001,0.204561,0.210221,1.5,1.625,0.051406,40821.0,0.079072,0.094368,0.024143,0.08397,-0.01426,0.128953,13.10656,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.129746,-0.063877,-0.006191,-0.022905,-0.049529,-0.005575,-0.005568,-0.010984,0.197484,-0.045598,-0.045928,-0.008784,-0.010555,0.342728,1.023134,-0.025157,-0.001512,-0.01388,1.958333,0.0,3.291667,0.064314,0.240861,0.308311
1514,48.448273,315.640015,0.233611,0.246973,0.869565,1.956522,0.051661,42797.0,0.092483,0.114196,0.022565,0.096052,-0.015824,0.145327,13.13119,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.151829,-0.078148,-0.009262,-0.021675,-0.061996,-0.006635,-0.006845,-0.013513,0.230871,-0.051578,-0.050611,-0.011391,-0.0145,0.38985,1.179802,-0.02904,-0.002005,-0.017331,1.782609,0.0,3.304348,0.054178,0.238503,0.275363
1515,47.012409,304.119995,0.245694,0.248588,1.0,1.25,0.051824,38858.0,0.09374,0.111347,0.029419,0.099742,-0.015997,0.150416,13.078447,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.155415,-0.074987,-0.010604,-0.020784,-0.059681,-0.006337,-0.006595,-0.013215,0.238392,-0.048973,-0.044067,-0.010419,-0.013999,0.407252,1.228749,-0.028176,-0.00138,-0.017722,1.583333,0.0,3.458333,0.050857,0.208479,0.262416
1516,51.043995,329.570007,0.243962,0.247718,0.958333,0.916667,0.052114,38828.0,0.095436,0.118732,0.027247,0.094045,-0.016204,0.140887,12.907394,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.156534,-0.077237,-0.006835,-0.020579,-0.060974,-0.006531,-0.006811,-0.012872,0.244978,-0.048259,-0.051873,-0.010848,-0.013566,0.407009,1.225566,-0.02884,-0.001349,-0.018427,1.166667,0.0,2.708333,0.052095,0.225662,0.289883
