iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.577685,15.36,0.010995,0.01075,0.916667,0.0,0.990871,25740.0,0.00728,0.019963,0.00104,0.00556,-0.001573,0.003575,8.491304
1,1.500144,44.419998,0.028871,0.025219,9.708334,0.0,0.983296,41076.0,0.023094,0.066609,0.006059,0.019006,-0.005367,0.01958,8.354061
2,2.565294,66.540001,0.047509,0.043695,12.75,0.0,0.978406,41275.0,0.03674,0.105492,0.008915,0.030831,-0.008495,0.026788,8.290657
3,3.653956,84.019997,0.062521,0.059104,15.041667,0.0,0.97448,41387.0,0.047876,0.142604,0.011535,0.041264,-0.011218,0.038328,8.249385
4,4.536045,103.870003,0.075467,0.071788,15.541667,0.0,0.970097,40792.0,0.057977,0.170308,0.013928,0.049306,-0.013333,0.045223,8.203563
5,5.253886,122.410004,0.086235,0.083731,14.625,0.0,0.96488,42036.0,0.067391,0.196631,0.016001,0.057854,-0.015717,0.051408,8.176275
6,5.926741,128.169998,0.096202,0.092675,14.291667,0.0,0.95959,41456.0,0.072725,0.217424,0.017512,0.062413,-0.01706,0.057037,8.133084
7,6.536593,144.940002,0.103927,0.099814,11.541667,0.0,0.955625,43601.0,0.081314,0.236642,0.019573,0.070132,-0.019462,0.062467,8.043745
8,6.702395,140.410004,0.109123,0.105123,9.5,0.0,0.950876,42851.0,0.080957,0.251516,0.020658,0.068515,-0.019161,0.077589,8.003586
9,7.480659,155.729996,0.116876,0.11137,7.458333,0.0,0.945243,43053.0,0.087705,0.27269,0.023332,0.076949,-0.021823,0.080531,7.995566
10,8.605025,176.779999,0.131427,0.127755,5.75,0.0,0.940747,37993.0,0.097619,0.302258,0.02453,0.081349,-0.023123,0.097514,7.919881
11,8.919789,193.860001,0.135023,0.132412,5.041667,0.0,0.937662,45574.0,0.109576,0.331782,0.027533,0.094941,-0.02713,0.099654,7.853023
12,9.578395,206.259995,0.14765,0.145597,3.708333,0.0,0.93323,39318.0,0.114467,0.354083,0.028722,0.100482,-0.028523,0.107194,7.839435
13,9.471047,205.089996,0.149367,0.148374,3.041667,0.0,0.928489,31446.0,0.107224,0.372687,0.031146,0.074865,-0.021979,0.131317,7.807147
