iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
0,0.486808,15.36,0.010999,0.01074,0.916667,0.0,0.988982,25682.0,0.007278
1,1.148714,43.869999,0.02871,0.025008,9.875,0.0,0.98031,44050.0,0.0231
2,2.163186,68.220001,0.047635,0.043957,13.875,0.0,0.975175,43502.0,0.037194
3,2.750461,85.389999,0.062567,0.059181,13.416667,0.0,0.96641,42849.0,0.049592
4,3.592094,102.059998,0.076287,0.073144,13.333334,0.0,0.957766,42604.0,0.05945
5,4.501669,122.529999,0.087392,0.084936,12.958334,0.0,0.951569,42272.0,0.067143
6,4.972469,130.080002,0.100104,0.095771,9.625,0.0,0.94226,42844.0,0.075883
7,5.411735,142.710007,0.110208,0.106864,10.083334,0.0,0.936842,43806.0,0.084227
8,6.12489,156.899994,0.121986,0.117259,7.75,0.0,0.929208,42306.0,0.091844
9,6.458625,165.380005,0.131705,0.126915,6.666667,0.0,0.923348,42766.0,0.098151
10,7.098304,186.160004,0.140942,0.137246,5.416667,0.0,0.917175,37078.0,0.10911
11,7.914289,204.490005,0.151628,0.147857,4.583333,0.0,0.913534,46375.0,0.118651
12,8.444205,216.770004,0.163984,0.160907,4.125,0.0,0.907491,39769.0,0.126041
13,9.516992,241.339996,0.187306,0.18498,3.041667,0.0,0.901972,32428.0,0.140141
14,10.355084,266.790009,0.175106,0.175518,2.826087,0.0,0.898893,31778.0,0.149059
15,11.305654,280.359985,0.214368,0.215341,2.545455,0.0,0.895127,31581.0,0.165559
16,11.520735,302.109985,0.230734,0.230296,2.043478,0.0,0.889801,34034.0,0.185994
17,12.078215,318.839996,0.213623,0.208789,2.181818,0.0,0.885102,47333.0,0.180866
18,12.961771,333.839996,0.241907,0.239587,1.954545,0.0,0.880705,47172.0,0.182703
19,14.284328,366.649994,0.271622,0.26951,1.304348,0.0,0.875363,48765.0,0.213373
20,14.849061,393.440002,0.259528,0.268845,1.25,0.0,0.870049,51893.0,0.234998
21,14.734551,403.059998,0.28946,0.290517,1.304348,0.0,0.86443,47344.0,0.217808
22,15.947799,441.820007,0.302487,0.331503,0.619048,0.0,0.859328,48501.0,0.280395
23,17.162088,465.890015,0.296427,0.293728,1.272727,0.0,0.854958,48386.0,0.238962
24,17.792103,474.850006,0.369727,0.372337,0.722222,0.0,0.850094,53134.0,0.28035
25,17.148741,494.089996,0.339496,0.368477,0.722222,0.0,0.844595,48135.0,0.332415
26,18.905746,547.929993,0.389681,0.404599,0.526316,0.0,0.839935,48519.0,0.334416
27,20.028557,580.97998,0.414512,0.424953,0.888889,0.0,0.835946,47939.0,0.324007
28,20.552847,582.22998,0.395121,0.413613,0.722222,0.0,0.831722,49898.0,0.320356
29,20.972977,591.580017,0.368815,0.378711,0.857143,0.0,0.827562,46277.0,0.345675
30,22.615768,619.039978,0.436211,0.477226,0.578947,0.0,0.822822,48655.0,0.374263
31,25.164825,677.969971,0.484678,0.508843,0.272727,0.0,0.819144,46541.0,0.359072
32,25.923578,697.77002,0.480598,0.502942,0.333333,0.0,0.813844,50294.0,0.416238
33,27.138145,721.179993,0.493147,0.524618,0.352941,0.0,0.809178,50527.0,0.394789
34,25.456959,754.169983,0.404514,0.442741,0.277778,0.0,0.804512,46396.0,0.429169
35,25.058161,779.400024,0.459923,0.487105,0.466667,0.0,0.801481,44755.0,0.422938
36,26.801573,793.299988,0.550791,0.574494,0.529412,0.0,0.79897,54184.0,0.422152
37,27.226025,792.830017,0.476237,0.47729,0.578947,0.0,0.793639,49616.0,0.422067
38,28.919977,811.159973,0.516734,0.542001,0.333333,0.0,0.790396,55109.0,0.461209
39,28.179041,828.159973,0.461959,0.477267,0.428571,0.0,0.78683,59118.0,0.450063
40,29.988682,858.320007,0.632033,0.656813,0.411765,0.0,0.784094,56845.0,0.429184
41,31.511585,902.659973,0.557173,0.58656,0.526316,0.0,0.782311,50420.0,0.496853
42,31.035549,954.909973,0.558809,0.597216,0.363636,0.0,0.7793,48848.0,0.499663
43,33.959373,998.419983,0.574326,0.624476,0.083333,0.0,0.775732,47056.0,0.507325
44,38.142769,996.659973,0.612412,0.644199,0.125,0.0,0.773377,45291.0,0.508846
45,35.425049,996.590027,0.579295,0.619585,0.083333,0.0,0.770583,42567.0,0.506327
46,33.738831,1000.0,0.556685,0.598523,0.041667,0.0,0.768001,47280.0,0.497324
47,37.824333,997.960022,0.586338,0.620798,0.083333,0.0,0.764035,44674.0,0.49406
48,40.900387,1000.0,0.598068,0.642111,0.083333,0.0,0.761484,47061.0,0.464201
49,39.356972,1000.0,0.639299,0.678717,0.041667,0.0,0.757152,48315.0,0.474811
50,39.308228,990.950012,0.643189,0.673581,0.041667,0.0,0.753361,44184.0,0.463961
51,40.216415,1000.0,0.675656,0.705541,0.0,0.0,0.748782,44947.0,0.4636
52,43.194408,990.549988,0.689679,0.715076,0.041667,0.0,0.745018,43096.0,0.44884
53,41.755943,1000.0,0.665944,0.692247,0.0,0.0,0.742713,39931.0,0.461626
54,45.135876,991.049988,0.739063,0.76707,0.083333,0.0,0.740477,40929.0,0.426427
